,life_expectancy,year,adult_mortality,infant_mortality,1-4_mortality,alcohol,hep_b,measles,bmi,polio,health_gov_expendt%,dtp3,hiv_aids,gdp,population,5_19thinness,5_19obesity,hdi,schooling,drinking_water,national_income_capita,health_expenditure%_gdp,obesity_adlts,region_Europe & Central Asia,region_Latin America & Caribbean,region_Middle East & North Africa,region_North America,region_South Asia,region_Sub-Saharan Africa,status_Developing
0,54.8,2000.0,316.0496,0.098245,0.01105,0.01,62.0,6532.0,21.7,24.0,8.2,24.0,0.1,114.56,20780000.0,20.6,0.6,0.338,5.5,27.7719,-5362.087825025628,5.3333661369594125,2.3,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,55.3,2001.0,307.2416,0.095925,0.010625,0.01,63.0,8762.0,21.8,35.0,7.8,33.0,0.1,117.49698,21607000.0,20.4,0.7,0.34,5.9,27.79726,-4738.217745168928,5.3476394758994985,2.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2,56.2,2002.0,292.343,0.09333,0.01013,0.01,64.0,2486.0,21.9,36.0,7.76,36.0,0.1,187.84595,22601000.0,20.2,0.8,0.341,6.2,29.90076,870.0,9.44339,2.6,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3,56.7,2003.0,286.4569,0.09047,0.009655,0.01,65.0,798.0,22.0,41.0,8.82,41.0,0.1,198.7285436,23681000.0,20.0,0.9,0.373,6.5,32.00507,920.0,8.94126,2.7,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4,57.0,2004.0,281.8943,0.087595,0.00921,0.02,67.0,466.0,22.1,5.0,8.79,5.0,0.1,219.1413528,24727000.0,19.8,1.0,0.381,6.8,34.12623,920.0,9.80847,2.9,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5,57.3,2005.0,277.1813,0.08463,0.008785,0.02,66.0,1296.0,22.2,58.0,8.7,58.0,0.1,25.2941299,25654000.0,19.6,1.1,0.396,7.9,36.26526,1020.0,9.94829,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6,57.3,2006.0,275.8199,0.081555,0.00832,0.03,64.0,1990.0,22.3,58.0,7.43,58.0,0.1,272.56377,26433000.0,19.4,1.2,0.405,8.1,38.40636,1080.0,10.62277,3.2,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7,57.5,2007.0,272.5923,0.07862,0.00789,0.02,63.0,1141.0,22.4,63.0,6.73,63.0,0.1,369.835796,27101000.0,19.2,1.3,0.415,8.4,40.84418,1230.0,9.90467,3.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8,58.1,2008.0,264.8989,0.075625,0.0075,0.03,64.0,1599.0,22.5,64.0,8.33,64.0,0.1,373.3611163,27722000.0,19.0,1.5,0.433,8.7,43.31506,1270.0,10.2565,3.6,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9,58.6,2009.0,259.8107,0.072655,0.007085,0.01,63.0,2861.0,22.6,63.0,9.42,63.0,0.1,445.8932979,28395000.0,18.9,1.6,0.434,8.9,45.81909,1510.0,9.81849,3.8,0.0,0.0,0.0,0.0,1.0,0.0,1.0
10,58.8,2010.0,254.7747,0.06988,0.00668,0.01,66.0,1989.0,22.7,66.0,9.2,66.0,0.1,553.32894,29186000.0,18.6,1.8,0.448,9.2,48.35636,1610.0,8.56967,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
11,59.2,2011.0,248.1654,0.067105,0.00627,0.01,68.0,3013.0,22.8,68.0,7.87,68.0,0.1,63.537231,30117000.0,18.4,2.0,0.454,9.5,50.92731,1700.0,8.56191,4.2,0.0,0.0,0.0,0.0,1.0,0.0,1.0
12,59.5,2012.0,242.3307,0.06452,0.005905,0.01,67.0,2787.0,22.9,67.0,8.52,67.0,0.1,669.959,31161000.0,18.2,2.2,0.463,9.8,53.5317,1940.0,7.89718,4.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0
13,59.9,2013.0,235.4626,0.062045,0.005535,0.01,64.0,430.0,23.0,62.0,8.13,64.0,0.1,631.744976,32270000.0,17.9,2.4,0.47,9.9,56.16964,2000.0,8.80594,4.7,0.0,0.0,0.0,0.0,1.0,0.0,1.0
14,59.9,2014.0,234.3186,0.059775,0.00522,0.01,62.0,492.0,23.2,58.0,8.18,62.0,0.1,612.696514,33371000.0,17.7,2.6,0.476,10.0,58.84123,-76.16504685047403,9.52887,4.9,0.0,0.0,0.0,0.0,1.0,0.0,1.0
15,65.0,2015.0,233.1531,0.05759,0.00495,0.01,65.0,1154.0,23.3,6.0,8.16,65.0,0.1,584.25921,34414000.0,17.5,2.8,0.479,10.1,61.54693,-622.2625536150954,10.10535,5.2,0.0,0.0,0.0,0.0,1.0,0.0,1.0
16,72.6,2000.0,106.099,0.023635,0.00076,3.66,96.0,662.0,25.2,97.0,6.26,97.0,0.1,1175.788981,3129000.0,2.2,2.1,0.656,10.7,87.86662,4370.0,6.294783256184765,13.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0
17,73.6,2001.0,100.4158,0.02234,0.00073,4.25,96.0,18.0,25.2,97.0,6.0,97.0,0.1,1326.97339,3130000.0,2.2,2.3,0.662,10.6,87.88955,4860.0,6.250499372001286,13.6,1.0,0.0,0.0,0.0,0.0,0.0,1.0
18,73.3,2002.0,102.3176,0.02119,0.000675,3.73,96.0,16.0,25.3,98.0,6.3,98.0,0.1,1453.642777,3126000.0,2.1,2.5,0.67,10.7,87.91309,5060.0,6.37493302689613,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
